sample_name	year	period	site	specimen	color_p	color_s	type	plate	quant_reading
GBP23041102M_ITS_P48	23	p04	s11	02M	#22A884FF	#ED6925FF	sample	P48	3789
GBP23041103M_ITS_P96	23	p04	s11	03M	#22A884FF	#ED6925FF	sample	P96	1822
GBP23041104M_ITS_P48	23	p04	s11	04M	#22A884FF	#ED6925FF	sample	P48	11289
GBP23041105M_ITS_P96	23	p04	s11	05M	#22A884FF	#ED6925FF	sample	P96	475
GBP23041301M_ITS_P96	23	p04	s13	01M	#22A884FF	#FCA50AFF	sample	P96	4148
GBP23041302M_ITS_P48	23	p04	s13	02M	#22A884FF	#FCA50AFF	sample	P48	7825
GBP23041401M_ITS_P96	23	p04	s14	01M	#22A884FF	#FAC62DFF	sample	P96	143852
GBP23041402M_ITS_P96	23	p04	s14	02M	#22A884FF	#FAC62DFF	sample	P96	8515
GBP23041403M_ITS_P96	23	p04	s14	03M	#22A884FF	#FAC62DFF	sample	P96	32564
GBP23041404M_ITS_P96	23	p04	s14	04M	#22A884FF	#FAC62DFF	sample	P96	43268
GBP23041405M_ITS_P96	23	p04	s14	05M	#22A884FF	#FAC62DFF	sample	P96	1457
GBP23041406M_ITS_P96	23	p04	s14	06M	#22A884FF	#FAC62DFF	sample	P96	61224
GBP23050301M_ITS_P96	23	p05	s03	01M	#7AD151FF	#240C4FFF	sample	P96	7202
GBP23050401M_ITS_P48	23	p05	s04	01M	#7AD151FF	#420A68FF	sample	P48	51830
GBP23050402M_ITS_P48	23	p05	s04	02M	#7AD151FF	#420A68FF	sample	P48	1476
GBP23050403M_ITS_P48	23	p05	s04	03M	#7AD151FF	#420A68FF	sample	P48	0
GBP23050501M_ITS_P96	23	p05	s05	01M	#7AD151FF	#5D126EFF	sample	P96	529
GBP23050502M_ITS_P48	23	p05	s05	02M	#7AD151FF	#5D126EFF	sample	P48	1930
GBP23050701M_ITS_P48	23	p05	s07	01M	#7AD151FF	#932667FF	sample	P48	15326
GBP23050702M_ITS_P96	23	p05	s07	02M	#7AD151FF	#932667FF	sample	P96	66996
GBP23051501M_ITS_P96	23	p05	s15	01M	#7AD151FF	#F2E661FF	sample	P96	937
