sample_name	year	period	site	specimen	color_p	color_s	type	plate	quant_reading
GBP23051501M_ITS_P96	23	p05	s15	01M	#7AD151FF	#F2E661FF	sample	P96	962
GBP23051601M_ITS_P96	23	p05	s16	01M	#7AD151FF	#FCFFA4FF	sample	P96	3175
GBP23051602M_ITS_P96	23	p05	s16	02M	#7AD151FF	#FCFFA4FF	sample	P96	6865
GBP23051603M_ITS_P96	23	p05	s16	03M	#7AD151FF	#FCFFA4FF	sample	P96	409
GBP23060101M_ITS_P96	23	p06	s01	01M	#FDE725FF	#000004FF	sample	P96	961
GBP23060102M_ITS_P96	23	p06	s01	02M	#FDE725FF	#000004FF	sample	P96	17870
GBP23060103M_ITS_P48	23	p06	s01	03M	#FDE725FF	#000004FF	sample	P48	670
GBP23060104M_ITS_P48	23	p06	s01	04M	#FDE725FF	#000004FF	sample	P48	37346
GBP23060105M_ITS_P48	23	p06	s01	05M	#FDE725FF	#000004FF	sample	P48	12175
GBP23060201M_ITS_P48	23	p06	s02	01M	#FDE725FF	#0C0826FF	sample	P48	53550
GBP23060202M_ITS_P48	23	p06	s02	02M	#FDE725FF	#0C0826FF	sample	P48	854
GBP23060203M_ITS_P96	23	p06	s02	03M	#FDE725FF	#0C0826FF	sample	P96	71263
GBP23060204M_ITS_P48	23	p06	s02	04M	#FDE725FF	#0C0826FF	sample	P48	10437
GBP23060205M_ITS_P48	23	p06	s02	05M	#FDE725FF	#0C0826FF	sample	P48	23282
GBP23060301M_ITS_P48	23	p06	s03	01M	#FDE725FF	#240C4FFF	sample	P48	190665
GBP23060302M_ITS_P48	23	p06	s03	02M	#FDE725FF	#240C4FFF	sample	P48	93223
GBP23060304M_ITS_P96	23	p06	s03	04M	#FDE725FF	#240C4FFF	sample	P96	1614
GBP23060305M_ITS_P48	23	p06	s03	05M	#FDE725FF	#240C4FFF	sample	P48	35413
GBP23060401M_ITS_P96	23	p06	s04	01M	#FDE725FF	#420A68FF	sample	P96	785
GBP23060402M_ITS_P96	23	p06	s04	02M	#FDE725FF	#420A68FF	sample	P96	4460
GBP23060404M_ITS_P96	23	p06	s04	04M	#FDE725FF	#420A68FF	sample	P96	28202
GBP23060501M_ITS_P48	23	p06	s05	01M	#FDE725FF	#5D126EFF	sample	P48	132932
GBP23060701M_ITS_P96	23	p06	s07	01M	#FDE725FF	#932667FF	sample	P96	19893
GBP23060801M_ITS_P96	23	p06	s08	01M	#FDE725FF	#AE305CFF	sample	P96	2244
GBP23061001M_ITS_P48	23	p06	s10	01M	#FDE725FF	#DD513AFF	sample	P48	37769
GBP23061002M_ITS_P96	23	p06	s10	02M	#FDE725FF	#DD513AFF	sample	P96	6277
GBP23061003M_ITS_P96	23	p06	s10	03M	#FDE725FF	#DD513AFF	sample	P96	165
GBP23061004M_ITS_P96	23	p06	s10	04M	#FDE725FF	#DD513AFF	sample	P96	52605
GBP23061005M_ITS_P96	23	p06	s10	05M	#FDE725FF	#DD513AFF	sample	P96	2648
GBP23061202M_ITS_P96	23	p06	s12	02M	#FDE725FF	#F8850FFF	sample	P96	32172
GBP23061301M_ITS_P96	23	p06	s13	01M	#FDE725FF	#FCA50AFF	sample	P96	7624
GBP23061303M_ITS_P48	23	p06	s13	03M	#FDE725FF	#FCA50AFF	sample	P48	15464
GBP23061402M_ITS_P96	23	p06	s14	02M	#FDE725FF	#FAC62DFF	sample	P96	2260
GBP23061404M_ITS_P96	23	p06	s14	04M	#FDE725FF	#FAC62DFF	sample	P96	10774
neg2_ITS_P96	NA	pNA	sNA	NA1	red	red	negative	P96	1982
neg4_ITS_P96	NA	pNA	sNA	NA2	red	red	negative	P96	426
neg6_ITS_P48	NA	pNA	sNA	NA3	red	red	negative	P48	1
negPCR_ITS_P96	NA	pNA	sNA	NA4	red	red	negative	P96	5101
