	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1302	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	g__Cirsium	s__boujartii
ASV_1303	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Plantaginaceae	g__Veronica	s__elliptica
ASV_1304	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Plantaginaceae	g__Veronica	s__vernicosa
ASV_1305	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Plantaginaceae	g__Veronica	NA
ASV_1306	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lathyrus	s__aphaca
ASV_1307	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Cucurbitales	f__Cucurbitaceae	g__Cucumis	s__sativus
ASV_1308	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Malpighiales	f__Violaceae	g__Viola	s__collina
ASV_1309	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	s__pyrenaica
ASV_1310	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	NA
ASV_1311	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Mucoraceae	g__Mucor	s__hiemalis
ASV_1312	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Gentianales	f__Gentianaceae	g__Gentiana	s__dinarica
ASV_1313	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	NA
ASV_1314	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	s__pyrenaica
ASV_1315	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__tenuis
ASV_1316	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Plantaginaceae	g__Linaria	NA
ASV_1317	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Geraniales	f__Geraniaceae	g__Geranium	s__robertianum
ASV_1318	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__tenuis
ASV_1319	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Trifolium	s__uniflorum
ASV_1320	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__tenuis
ASV_1321	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__castellanus
ASV_1322	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__tenuis
ASV_1323	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Myrtales	f__Myrtaceae	g__Leptospermum	s__scoparium
ASV_1324	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Myrtales	f__Myrtaceae	g__Leptospermum	s__scoparium
ASV_1325	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Myrtales	f__Myrtaceae	g__Leptospermum	s__scoparium
ASV_1326	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Poales	f__Poaceae	g__Holcus	s__subsp._duriensis
ASV_1327	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Lamiaceae	g__Stachys	s__officinalis
ASV_1328	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Lamiaceae	g__Stachys	s__officinalis
ASV_1329	k__Viridiplantae	p__Coniferophyta	c__Pinopsida	o__Pinales	f__Pinaceae	g__Pinus	s__heldreichii
ASV_1330	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lathyrus	s__aphaca
ASV_1331	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Ranunculales	f__Ranunculaceae	g__Ranunculaceae_gen_Incertae_sedis	NA
ASV_1332	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Malpighiales	f__Violaceae	g__Viola	NA
ASV_1333	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Ranunculales	f__Ranunculaceae	g__Helleborus	s__thibetanus
ASV_1334	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Rosales	f__Rosaceae	g__Prunus	s__sunhangii
ASV_1335	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	NA
ASV_1336	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	NA
ASV_1337	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	NA
ASV_1338	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fagales	f__Juglandaceae	g__Juglans	s__regia
ASV_1339	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Myrtales	f__Myrtaceae	g__Leptospermum	s__scoparium
ASV_1340	k__Viridiplantae	p__Chlorophyta	c__Trebouxiophyceae	o__Trebouxiales	f__Trebouxiaceae	g__Trebouxia	s__anticipata
ASV_1341	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__carpetanus
ASV_1342	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__tenuis
ASV_1343	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Glycine	NA
ASV_1344	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	g__Hypochaeris	s__glabra
ASV_1345	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__tenuis
ASV_1346	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Lamiaceae	g__Stachys	s__officinalis
ASV_1347	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Lamiaceae	g__Stachys	s__officinalis
ASV_1348	k__Viridiplantae	p__Chlorophyta	c__Trebouxiophyceae	o__Trebouxiales	f__Trebouxiaceae	g__Symbiochloris	s__symbiontica
ASV_1349	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Ranunculales	f__Ranunculaceae	g__Anemone	s__nemorosa
ASV_1350	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Ericales	f__Ericaceae	NA	NA
ASV_1351	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	s__pyrenaica
ASV_1352	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Orobanchaceae	g__Lathraea	s__squamaria
ASV_1353	k__Metazoa	p__Arthropoda	c__Arachnida	o__Araneae	f__Idiopidae	g__Idiosoma	s__clypeatum
ASV_1354	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	NA
ASV_1355	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	s__pyrenaica
ASV_1356	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	s__pyrenaica
ASV_1357	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	NA
ASV_1358	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Ericales	f__Actinidiaceae	g__Actinidia	s__chinensis
ASV_1359	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Plantaginaceae	g__Linaria	NA
