"","Genus","Species","Count"
"117","Pleurophyllum","(sect.",0
"118","Pleuropterus","(sect.",0
"119","Poa","(sect.",0
"120","Polygala","(sect.",0
"121","Potentilla","(sect.",0
"122","Primula","(sect.",0
"123","Pritzelago","(sect.",0
"124","Prunella","(sect.",0
"125","Prunus","(sect.",0
"126","Pseudopanax","(sect.",0
"127","Pulmonaria","(sect.",0
"128","Quercus","(sect.",0
"129","Ranunculus","(sect.",0
"130","Raphanus","(sect.",0
"131","Rhinanthus","(sect.",0
"132","Robinia","(sect.",0
"133","Rosa","(sect.",0
"134","Rubus","(sect.",0
"135","Salix","(sect.",0
"136","Sambucus","(sect.",0
"137","Schinus","(sect.",0
"138","Scrophularia","(sect.",0
"139","Secale","(sect.",0
"140","Sideritis","(sect.",0
"141","Silybum","(sect.",0
"142","Sisymbrium","(sect.",0
"143","Smithiantha","(sect.",0
"144","Solanum","(sect.",0
"145","Spartina","(sect.",0
"146","Spondias","(sect.",0
"147","Stellaria","(sect.",0
"148","Styphelia","(sect.",0
"149","Symphytum","(sect.",0
"151","Teucrium","(sect.",0
"152","Thymus","(sect.",0
"153","Tornabenea","(sect.",0
"154","Tragopogon","(sect.",0
"155","Trifolium","(sect.",0
"156","Tripleurospermum","(sect.",0
"157","Triticum","(sect.",0
"158","Ulex","(sect.",0
"159","Urtica","(sect.",0
"160","Vaccinium","(sect.",0
"161","Veronica","(sect.",0
"162","Vicia","(sect.",0
"163","Viola","(sect.",0
"164","Abelmoschus","acetosella",0
"165","Achillea","acetosella",0
"166","Aciphylla","acetosella",0
"167","Aconitum","acetosella",0
"168","Actinidia","acetosella",0
"169","Adolphia","acetosella",0
"170","Aegilops","acetosella",0
"171","Agrostis","acetosella",0
"172","Ajuga","acetosella",0
"173","Allium","acetosella",0
"174","Alnus","acetosella",0
"175","Anagallis","acetosella",0
"176","Anaphalioides","acetosella",0
"177","Anemone","acetosella",0
"178","Anthoxanthum","acetosella",0
"179","Anthyllis","acetosella",0
"180","Arabis","acetosella",0
"181","Arenaria","acetosella",0
"182","Arrhenatherum","acetosella",0
"183","Asparagus","acetosella",0
"184","Bellis","acetosella",0
"185","Betula","acetosella",0
"186","Brachypodium","acetosella",0
"187","Brandisia","acetosella",0
"188","Brassica","acetosella",0
"189","Caltha","acetosella",0
"190","Cardamine","acetosella",0
"191","Carduus","acetosella",0
"192","Carex","acetosella",0
"193","Castanea","acetosella",0
"194","Chaerophyllum","acetosella",0
"195","Chrysosplenium","acetosella",0
"196","Cicer","acetosella",0
"197","Cirsium","acetosella",0
"198","Citrus","acetosella",0
"199","Clematis","acetosella",0
"200","Clinopodium","acetosella",0
"201","Colocasia","acetosella",0
"202","Conium","acetosella",0
"203","Coptidium","acetosella",0
"204","Crataegus","acetosella",0
"205","Crepis","acetosella",0
"206","Cucumis","acetosella",0
"207","Daboecia","acetosella",0
"208","Dactylis","acetosella",0
"209","Digitalis","acetosella",0
"210","Dioscorea","acetosella",0
"211","Dracophyllum","acetosella",0
"212","Echium","acetosella",0
"213","Erica","acetosella",0
"214","Erucastrum","acetosella",0
"215","Eryngium","acetosella",0
"216","Erysimum","acetosella",0
"217","Erythronium","acetosella",0
"218","Eucalyptus","acetosella",0
"219","Fagus","acetosella",0
"220","Festuca","acetosella",0
"221","Fuscospora","acetosella",0
"222","Gaylussacia","acetosella",0
"223","Genista","acetosella",0
"224","Gentiana","acetosella",0
"225","Geranium","acetosella",0
"226","Gingidia","acetosella",0
"227","Glandora","acetosella",0
"228","Globularia","acetosella",0
"229","Glycine","acetosella",0
"230","Gossypium","acetosella",0
"231","Helianthemum","acetosella",0
"232","Helleborus","acetosella",0
"233","Heritiera","acetosella",0
"234","Hieracium","acetosella",0
"235","Hippocrepis","acetosella",0
"236","Holcus","acetosella",0
"237","Horkeliella","acetosella",0
"238","Hypericum","acetosella",0
"239","Hypochaeris","acetosella",0
"240","Iberis","acetosella",0
"241","Ilex","acetosella",0
"242","Jasione","acetosella",0
"243","Juglans","acetosella",0
"244","Lamium","acetosella",0
"245","Lathraea","acetosella",0
"246","Lathyrus","acetosella",0
"247","Leontodon","acetosella",0
"248","Leptospermum","acetosella",0
"249","Leucanthemum","acetosella",0
"250","Linaria","acetosella",0
"251","Linum","acetosella",0
"252","Liriodendron","acetosella",0
"253","Lithodora","acetosella",0
"254","Lolium","acetosella",0
"255","Lotus","acetosella",0
"256","Macadamia","acetosella",0
"257","Megalachne","acetosella",0
"258","Melampyrum","acetosella",0
"259","Molinia","acetosella",0
"260","Morus","acetosella",0
"261","Muehlenbeckia","acetosella",0
"262","Musa","acetosella",0
"263","Myosotis","acetosella",0
"264","Narcissus","acetosella",0
"265","Nuttallanthus","acetosella",0
"266","Olearia","acetosella",0
"268","Ozothamnus","acetosella",0
"269","Packera","acetosella",0
"270","Paederota","acetosella",0
"271","Parietaria","acetosella",0
"272","Pedicularis","acetosella",0
"273","Petroselinum","acetosella",0
"274","Picnomon","acetosella",0
"275","Pilosella","acetosella",0
"276","Pimelea","acetosella",0
"277","Pinguicula","acetosella",0
"278","Plantago","acetosella",0
"279","Platanus","acetosella",0
"280","Pleurophyllum","acetosella",0
"281","Pleuropterus","acetosella",0
"282","Poa","acetosella",0
"283","Polygala","acetosella",0
"284","Potentilla","acetosella",0
"285","Primula","acetosella",0
"286","Pritzelago","acetosella",0
"287","Prunella","acetosella",0
"288","Prunus","acetosella",0
"289","Pseudopanax","acetosella",0
"290","Pulmonaria","acetosella",0
"291","Quercus","acetosella",0
"292","Ranunculus","acetosella",0
"293","Raphanus","acetosella",0
"294","Rhinanthus","acetosella",0
"295","Robinia","acetosella",0
"296","Rosa","acetosella",0
"297","Rubus","acetosella",0
"298","Salix","acetosella",0
"299","Sambucus","acetosella",0
"300","Schinus","acetosella",0
"301","Scrophularia","acetosella",0
"302","Secale","acetosella",0
"303","Sideritis","acetosella",0
"304","Silybum","acetosella",0
"305","Sisymbrium","acetosella",0
"306","Smithiantha","acetosella",0
"307","Solanum","acetosella",0
"308","Spartina","acetosella",0
"309","Spondias","acetosella",0
"310","Stellaria","acetosella",0
"311","Styphelia","acetosella",0
"312","Symphytum","acetosella",0
"313","Taraxacum","acetosella",0
"314","Teucrium","acetosella",0
"315","Thymus","acetosella",0
"316","Tornabenea","acetosella",0
"317","Tragopogon","acetosella",0
"318","Trifolium","acetosella",0
"319","Tripleurospermum","acetosella",0
"320","Triticum","acetosella",0
"321","Ulex","acetosella",0
"322","Urtica","acetosella",0
"323","Vaccinium","acetosella",0
"324","Veronica","acetosella",0
"325","Vicia","acetosella",0
"326","Viola","acetosella",0
"327","Abelmoschus","aestivum/sp./turgidum",0
"328","Achillea","aestivum/sp./turgidum",0
"329","Aciphylla","aestivum/sp./turgidum",0
"330","Aconitum","aestivum/sp./turgidum",0
"331","Actinidia","aestivum/sp./turgidum",0
"332","Adolphia","aestivum/sp./turgidum",0
"333","Aegilops","aestivum/sp./turgidum",0
"334","Agrostis","aestivum/sp./turgidum",0
"335","Ajuga","aestivum/sp./turgidum",0
"336","Allium","aestivum/sp./turgidum",0
"337","Alnus","aestivum/sp./turgidum",0
"338","Anagallis","aestivum/sp./turgidum",0
"339","Anaphalioides","aestivum/sp./turgidum",0
"340","Anemone","aestivum/sp./turgidum",0
"341","Anthoxanthum","aestivum/sp./turgidum",0
"342","Anthyllis","aestivum/sp./turgidum",0
"343","Arabis","aestivum/sp./turgidum",0
"344","Arenaria","aestivum/sp./turgidum",0
"345","Arrhenatherum","aestivum/sp./turgidum",0
"346","Asparagus","aestivum/sp./turgidum",0
"347","Bellis","aestivum/sp./turgidum",0
"348","Betula","aestivum/sp./turgidum",0
"349","Brachypodium","aestivum/sp./turgidum",0
"350","Brandisia","aestivum/sp./turgidum",0
"351","Brassica","aestivum/sp./turgidum",0
"352","Caltha","aestivum/sp./turgidum",0
"353","Cardamine","aestivum/sp./turgidum",0
"354","Carduus","aestivum/sp./turgidum",0
"355","Carex","aestivum/sp./turgidum",0
"356","Castanea","aestivum/sp./turgidum",0
"357","Chaerophyllum","aestivum/sp./turgidum",0
"358","Chrysosplenium","aestivum/sp./turgidum",0
"359","Cicer","aestivum/sp./turgidum",0
"360","Cirsium","aestivum/sp./turgidum",0
"361","Citrus","aestivum/sp./turgidum",0
"362","Clematis","aestivum/sp./turgidum",0
"363","Clinopodium","aestivum/sp./turgidum",0
"364","Colocasia","aestivum/sp./turgidum",0
