sample_name	year	period	site	specimen	color_p	color_s	type	plate	quant_reading
GBP23041102M_ITS_P48	23	p04	s11	02M	#22A884FF	#ED6925FF	sample	P48	3593
GBP23041103M_ITS_P96	23	p04	s11	03M	#22A884FF	#ED6925FF	sample	P96	1110
GBP23041104M_ITS_P48	23	p04	s11	04M	#22A884FF	#ED6925FF	sample	P48	11189
GBP23041105M_ITS_P96	23	p04	s11	05M	#22A884FF	#ED6925FF	sample	P96	394
GBP23041301M_ITS_P96	23	p04	s13	01M	#22A884FF	#FCA50AFF	sample	P96	4090
GBP23041302M_ITS_P48	23	p04	s13	02M	#22A884FF	#FCA50AFF	sample	P48	7826
GBP23041401M_ITS_P96	23	p04	s14	01M	#22A884FF	#FAC62DFF	sample	P96	126080
GBP23041402M_ITS_P96	23	p04	s14	02M	#22A884FF	#FAC62DFF	sample	P96	8055
GBP23041403M_ITS_P96	23	p04	s14	03M	#22A884FF	#FAC62DFF	sample	P96	28796
GBP23041404M_ITS_P96	23	p04	s14	04M	#22A884FF	#FAC62DFF	sample	P96	41120
GBP23041405M_ITS_P96	23	p04	s14	05M	#22A884FF	#FAC62DFF	sample	P96	1442
GBP23041406M_ITS_P96	23	p04	s14	06M	#22A884FF	#FAC62DFF	sample	P96	56093
GBP23050301M_ITS_P96	23	p05	s03	01M	#7AD151FF	#240C4FFF	sample	P96	6672
GBP23050401M_ITS_P48	23	p05	s04	01M	#7AD151FF	#420A68FF	sample	P48	51462
GBP23050402M_ITS_P48	23	p05	s04	02M	#7AD151FF	#420A68FF	sample	P48	1077
GBP23050403M_ITS_P48	23	p05	s04	03M	#7AD151FF	#420A68FF	sample	P48	0
GBP23050501M_ITS_P96	23	p05	s05	01M	#7AD151FF	#5D126EFF	sample	P96	383
GBP23050502M_ITS_P48	23	p05	s05	02M	#7AD151FF	#5D126EFF	sample	P48	2003
GBP23050701M_ITS_P48	23	p05	s07	01M	#7AD151FF	#932667FF	sample	P48	13983
GBP23050702M_ITS_P96	23	p05	s07	02M	#7AD151FF	#932667FF	sample	P96	57715
GBP23051501M_ITS_P96	23	p05	s15	01M	#7AD151FF	#F2E661FF	sample	P96	907
GBP23051601M_ITS_P96	23	p05	s16	01M	#7AD151FF	#FCFFA4FF	sample	P96	2288
GBP23051602M_ITS_P96	23	p05	s16	02M	#7AD151FF	#FCFFA4FF	sample	P96	6729
GBP23051603M_ITS_P96	23	p05	s16	03M	#7AD151FF	#FCFFA4FF	sample	P96	385
GBP23060101M_ITS_P96	23	p06	s01	01M	#FDE725FF	#000004FF	sample	P96	892
GBP23060102M_ITS_P96	23	p06	s01	02M	#FDE725FF	#000004FF	sample	P96	16445
GBP23060103M_ITS_P48	23	p06	s01	03M	#FDE725FF	#000004FF	sample	P48	567
GBP23060104M_ITS_P48	23	p06	s01	04M	#FDE725FF	#000004FF	sample	P48	32841
GBP23060105M_ITS_P48	23	p06	s01	05M	#FDE725FF	#000004FF	sample	P48	12193
GBP23060201M_ITS_P48	23	p06	s02	01M	#FDE725FF	#0C0826FF	sample	P48	54129
GBP23060202M_ITS_P48	23	p06	s02	02M	#FDE725FF	#0C0826FF	sample	P48	337
GBP23060203M_ITS_P96	23	p06	s02	03M	#FDE725FF	#0C0826FF	sample	P96	64772
GBP23060204M_ITS_P48	23	p06	s02	04M	#FDE725FF	#0C0826FF	sample	P48	10295
GBP23060205M_ITS_P48	23	p06	s02	05M	#FDE725FF	#0C0826FF	sample	P48	22663
GBP23060301M_ITS_P48	23	p06	s03	01M	#FDE725FF	#240C4FFF	sample	P48	157803
GBP23060302M_ITS_P48	23	p06	s03	02M	#FDE725FF	#240C4FFF	sample	P48	85475
GBP23060303M_ITS_P96	23	p06	s03	03M	#FDE725FF	#240C4FFF	sample	P96	2554
GBP23060304M_ITS_P96	23	p06	s03	04M	#FDE725FF	#240C4FFF	sample	P96	1364
GBP23060305M_ITS_P48	23	p06	s03	05M	#FDE725FF	#240C4FFF	sample	P48	35240
GBP23060401M_ITS_P96	23	p06	s04	01M	#FDE725FF	#420A68FF	sample	P96	552
GBP23060402M_ITS_P96	23	p06	s04	02M	#FDE725FF	#420A68FF	sample	P96	3916
GBP23060403M_ITS_P48	23	p06	s04	03M	#FDE725FF	#420A68FF	sample	P48	4493
GBP23060404M_ITS_P96	23	p06	s04	04M	#FDE725FF	#420A68FF	sample	P96	29874
GBP23060501M_ITS_P48	23	p06	s05	01M	#FDE725FF	#5D126EFF	sample	P48	136913
GBP23060701M_ITS_P96	23	p06	s07	01M	#FDE725FF	#932667FF	sample	P96	20071
GBP23060801M_ITS_P96	23	p06	s08	01M	#FDE725FF	#AE305CFF	sample	P96	2062
GBP23060901M_ITS_P48	23	p06	s09	01M	#FDE725FF	#C73E4CFF	sample	P48	173
GBP23061001M_ITS_P48	23	p06	s10	01M	#FDE725FF	#DD513AFF	sample	P48	30425
GBP23061002M_ITS_P96	23	p06	s10	02M	#FDE725FF	#DD513AFF	sample	P96	2770
GBP23061003M_ITS_P96	23	p06	s10	03M	#FDE725FF	#DD513AFF	sample	P96	93
GBP23061004M_ITS_P96	23	p06	s10	04M	#FDE725FF	#DD513AFF	sample	P96	50607
GBP23061005M_ITS_P96	23	p06	s10	05M	#FDE725FF	#DD513AFF	sample	P96	2445
GBP23061201M_ITS_P48	23	p06	s12	01M	#FDE725FF	#F8850FFF	sample	P48	178610
GBP23061202M_ITS_P96	23	p06	s12	02M	#FDE725FF	#F8850FFF	sample	P96	28345
GBP23061301M_ITS_P96	23	p06	s13	01M	#FDE725FF	#FCA50AFF	sample	P96	7454
GBP23061303M_ITS_P48	23	p06	s13	03M	#FDE725FF	#FCA50AFF	sample	P48	12090
GBP23061304M_ITS_P96	23	p06	s13	04M	#FDE725FF	#FCA50AFF	sample	P96	8698
GBP23061305M_ITS_P96	23	p06	s13	05M	#FDE725FF	#FCA50AFF	sample	P96	28049
GBP23061401M_ITS_P96	23	p06	s14	01M	#FDE725FF	#FAC62DFF	sample	P96	43296
GBP23061402M_ITS_P96	23	p06	s14	02M	#FDE725FF	#FAC62DFF	sample	P96	2107
GBP23061404M_ITS_P96	23	p06	s14	04M	#FDE725FF	#FAC62DFF	sample	P96	9538
GBP23061405M_ITS_P48	23	p06	s14	05M	#FDE725FF	#FAC62DFF	sample	P48	0
neg1_ITS_P96	NA	pNA	sNA	NA1	red	red	negative	P96	352
neg2_ITS_P96	NA	pNA	sNA	NA2	red	red	negative	P96	1547
neg4_ITS_P96	NA	pNA	sNA	NA3	red	red	negative	P96	386
neg6_ITS_P48	NA	pNA	sNA	NA4	red	red	negative	P48	0
neg7_ITS_P48	NA	pNA	sNA	NA5	red	red	negative	P48	4
neg9_ITS_P48	NA	pNA	sNA	NA6	red	red	negative	P48	0
negPCR_ITS_P48	NA	pNA	sNA	NA7	red	red	negative	P48	10
negPCR_ITS_P96	NA	pNA	sNA	NA8	red	red	negative	P96	4830
