sample	raw	chimera.removed	too_long_variants	collapsed_100	diff.total
GBP23060501M_ITS_P48	134187	129961	129961	129961	0.97
GBP23060701M_ITS_P96	19983	19845	19845	19845	0.99
GBP23060801M_ITS_P96	2248	2232	2232	2232	0.99
GBP23060901M_ITS_P48	193	193	193	193	1
GBP23061001M_ITS_P48	38145	37260	37260	37260	0.98
GBP23061002M_ITS_P96	6390	6324	6324	6324	0.99
GBP23061003M_ITS_P96	160	160	160	160	1
GBP23061004M_ITS_P96	52819	48270	48270	48270	0.91
GBP23061005M_ITS_P96	2532	2483	2483	2483	0.98
GBP23061201M_ITS_P48	188186	174746	174746	174746	0.93
GBP23061202M_ITS_P96	32870	32096	32096	32096	0.98
GBP23061301M_ITS_P96	7645	7631	7631	7631	1
GBP23061303M_ITS_P48	15490	12961	12961	12961	0.84
GBP23061304M_ITS_P96	8857	8827	8827	8827	1
GBP23061305M_ITS_P96	30213	29983	29983	29983	0.99
GBP23061401M_ITS_P96	43382	42185	42185	42185	0.97
GBP23061402M_ITS_P96	2315	2315	2315	2315	1
GBP23061404M_ITS_P96	10726	10707	10707	10707	1
GBP23061405M_ITS_P48	0	0	0	0	NA
neg1_ITS_P96	399	399	399	399	1
neg2_ITS_P96	1770	1770	1770	1770	1
neg4_ITS_P96	359	359	359	359	1
neg6_ITS_P48	0	0	0	0	NA
neg7_ITS_P48	3	3	3	3	1
neg9_ITS_P48	0	0	0	0	NA
negPCR_ITS_P48	16	16	16	16	1
negPCR_ITS_P96	5112	5112	5112	5112	1
