sample	input	filtered	denoised	merged	tabled	diff1	diff2	diff3	diff4	diff.total
GBP23041301M_ITS_P96	4324	4241	4218	4148	4148	0.98	0.99	0.98	1	0.96
GBP23041302M_ITS_P48	8108	7932	7909	7825	7825	0.98	1	0.99	1	0.97
GBP23041401M_ITS_P96	152315	147804	147579	143852	143852	0.97	1	0.97	1	0.94
GBP23041402M_ITS_P96	9100	8956	8866	8515	8515	0.98	0.99	0.96	1	0.94
GBP23041403M_ITS_P96	35635	33583	33491	32564	32564	0.94	1	0.97	1	0.91
GBP23041404M_ITS_P96	45211	44048	43954	43268	43268	0.97	1	0.98	1	0.96
GBP23041405M_ITS_P96	1487	1469	1458	1457	1457	0.99	0.99	1	1	0.98
GBP23041406M_ITS_P96	64159	63044	62882	61224	61224	0.98	1	0.97	1	0.95
GBP23050301M_ITS_P96	8142	7919	7847	7202	7202	0.97	0.99	0.92	1	0.88
GBP23050401M_ITS_P48	57567	53026	52950	51830	51830	0.92	1	0.98	1	0.9
GBP23050402M_ITS_P48	1954	1590	1536	1476	1476	0.81	0.97	0.96	1	0.76
GBP23050403M_ITS_P48	5	4	2	0	0	0.8	0.5	0	NA	0
GBP23050501M_ITS_P96	603	561	539	529	529	0.93	0.96	0.98	1	0.88
GBP23050502M_ITS_P48	2120	2058	2001	1930	1930	0.97	0.97	0.96	1	0.91
GBP23050701M_ITS_P48	16211	15562	15527	15326	15326	0.96	1	0.99	1	0.95
GBP23050702M_ITS_P96	70672	67648	67557	66996	66996	0.96	1	0.99	1	0.95
GBP23051501M_ITS_P96	997	976	968	937	937	0.98	0.99	0.97	1	0.94
GBP23051601M_ITS_P96	3377	3284	3263	3181	3181	0.97	0.99	0.97	1	0.94
GBP23051602M_ITS_P96	7600	7103	7038	6786	6786	0.93	0.99	0.96	1	0.89
GBP23051603M_ITS_P96	449	416	381	324	324	0.93	0.92	0.85	1	0.72
GBP23060101M_ITS_P96	1044	985	971	955	955	0.94	0.99	0.98	1	0.91
GBP23060102M_ITS_P96	19052	18275	18174	17865	17865	0.96	0.99	0.98	1	0.94
GBP23060103M_ITS_P48	698	681	665	568	568	0.98	0.98	0.85	1	0.81
GBP23060104M_ITS_P48	39209	38160	38094	37293	37293	0.97	1	0.98	1	0.95
GBP23060105M_ITS_P48	13641	12472	12432	12319	12319	0.91	1	0.99	1	0.9
GBP23060201M_ITS_P48	59475	54004	53950	53843	53843	0.91	1	1	1	0.91
GBP23060202M_ITS_P48	907	891	884	826	826	0.98	0.99	0.93	1	0.91
GBP23060203M_ITS_P96	76186	72483	72196	71235	71235	0.95	1	0.99	1	0.94
GBP23060204M_ITS_P48	10898	10735	10708	10384	10384	0.99	1	0.97	1	0.95
GBP23060205M_ITS_P48	24752	23951	23934	23607	23607	0.97	1	0.99	1	0.95
GBP23060301M_ITS_P48	202712	195768	195129	191964	191964	0.97	1	0.98	1	0.95
GBP23060302M_ITS_P48	98357	96244	96041	93785	93785	0.98	1	0.98	1	0.95
GBP23060303M_ITS_P96	3009	2616	2593	2554	2554	0.87	0.99	0.98	1	0.85
GBP23060304M_ITS_P96	20144	19389	19360	1486	1486	0.96	1	0.08	1	0.07
GBP23060305M_ITS_P48	38988	37180	37002	35867	35867	0.95	1	0.97	1	0.92
GBP23060401M_ITS_P96	889	796	757	636	636	0.9	0.95	0.84	1	0.72
GBP23060402M_ITS_P96	4824	4640	4621	4491	4491	0.96	1	0.97	1	0.93
GBP23060403M_ITS_P48	6397	5263	5221	5110	5110	0.82	0.99	0.98	1	0.8
GBP23060404M_ITS_P96	35676	28626	28536	27959	27959	0.8	1	0.98	1	0.78
GBP23060501M_ITS_P48	153707	136991	136656	134187	134187	0.89	1	0.98	1	0.87
GBP23060701M_ITS_P96	21372	20231	20182	19983	19983	0.95	1	0.99	1	0.94
GBP23060801M_ITS_P96	2335	2284	2260	2248	2248	0.98	0.99	0.99	1	0.96
GBP23060901M_ITS_P48	252	235	213	193	193	0.93	0.91	0.91	1	0.77
GBP23061001M_ITS_P48	41054	39674	39358	38145	38145	0.97	0.99	0.97	1	0.93
GBP23061002M_ITS_P96	7126	6644	6609	6390	6390	0.93	0.99	0.97	1	0.9
GBP23061003M_ITS_P96	173	169	160	160	160	0.98	0.95	1	1	0.92
GBP23061004M_ITS_P96	55607	53856	53769	52819	52819	0.97	1	0.98	1	0.95
GBP23061005M_ITS_P96	3055	2733	2700	2532	2532	0.89	0.99	0.94	1	0.83
GBP23061201M_ITS_P48	201535	193942	193314	188186	188186	0.96	1	0.97	1	0.93
GBP23061202M_ITS_P96	35045	33046	33007	32870	32870	0.94	1	1	1	0.94
GBP23061301M_ITS_P96	8251	7731	7692	7645	7645	0.94	0.99	0.99	1	0.93
GBP23061303M_ITS_P48	17573	16348	16234	15490	15490	0.93	0.99	0.95	1	0.88
GBP23061304M_ITS_P96	9282	9081	9008	8857	8857	0.98	0.99	0.98	1	0.95
GBP23061305M_ITS_P96	31268	30442	30369	30213	30213	0.97	1	0.99	1	0.97
GBP23061401M_ITS_P96	53512	44783	44578	43382	43382	0.84	1	0.97	1	0.81
GBP23061402M_ITS_P96	2453	2385	2373	2315	2315	0.97	0.99	0.98	1	0.94
GBP23061404M_ITS_P96	11323	10973	10935	10726	10726	0.97	1	0.98	1	0.95
GBP23061405M_ITS_P48	7	5	1	0	0	0.71	0.2	0	NA	0
neg1_ITS_P96	478	457	431	399	399	0.96	0.94	0.93	1	0.83
neg2_ITS_P96	2133	2045	1986	1770	1770	0.96	0.97	0.89	1	0.83
neg4_ITS_P96	464	434	426	359	359	0.94	0.98	0.84	1	0.77
neg6_ITS_P48	1	1	1	0	0	1	1	0	NA	0
neg7_ITS_P48	7	6	3	3	3	0.86	0.5	1	1	0.43
neg9_ITS_P48	14	14	4	0	0	1	0.29	0	NA	0
negPCR_ITS_P48	20	20	16	16	16	1	0.8	1	1	0.8
negPCR_ITS_P96	5510	5262	5145	5112	5112	0.95	0.98	0.99	1	0.93
